"","features","expr","time","size"
"1",2,"l1svm_their()",15281236,1000
"2",2,"l2svm_their()",69660137,1000
"3",2,"l1svm_their()",22616309,1000
"4",2,"l2svm_their()",202588195,1000
"5",2,"l1svm_ours()",143310193,1000
"6",2,"l2svm_their()",149327579,1000
"7",2,"l1svm_ours()",140644076,1000
"8",2,"l1svm_ours()",135029799,1000
"9",2,"l1svm_their()",28577189,1000
"10",2,"l2svm_their()",95727343,1250
"11",2,"l1svm_ours()",57455875,1250
"12",2,"l1svm_their()",46885019,1250
"13",2,"l1svm_ours()",60963737,1250
"14",2,"l1svm_ours()",79345744,1250
"15",2,"l1svm_their()",22966133,1250
"16",2,"l2svm_their()",94065123,1250
"17",2,"l2svm_their()",79806386,1250
"18",2,"l1svm_their()",46703113,1250
"19",2,"l1svm_their()",51659703,1500
"20",2,"l1svm_their()",15082651,1500
"21",2,"l1svm_ours()",92955064,1500
"22",2,"l2svm_their()",176422437,1500
"23",2,"l2svm_their()",116931641,1500
"24",2,"l1svm_their()",19732155,1500
"25",2,"l1svm_ours()",92636270,1500
"26",2,"l1svm_ours()",98269868,1500
"27",2,"l2svm_their()",184175832,1500
"28",2,"l2svm_their()",131532658,1750
"29",2,"l1svm_their()",20123110,1750
"30",2,"l1svm_ours()",97490287,1750
"31",2,"l2svm_their()",171834185,1750
"32",2,"l1svm_ours()",133021857,1750
"33",2,"l1svm_ours()",148429415,1750
"34",2,"l1svm_their()",62365837,1750
"35",2,"l1svm_their()",33791724,1750
"36",2,"l2svm_their()",209483314,1750
"37",2,"l2svm_their()",166243300,2000
"38",2,"l1svm_ours()",136246739,2000
"39",2,"l1svm_ours()",91169227,2000
"40",2,"l1svm_their()",20821456,2000
"41",2,"l2svm_their()",133942740,2000
"42",2,"l1svm_their()",20960983,2000
"43",2,"l1svm_their()",21041266,2000
"44",2,"l2svm_their()",127366206,2000
"45",2,"l1svm_ours()",93189130,2000
"46",2,"l1svm_their()",28778010,2250
"47",2,"l1svm_ours()",123452251,2250
"48",2,"l2svm_their()",147507713,2250
"49",2,"l1svm_ours()",385591306,2250
"50",2,"l1svm_their()",69777496,2250
"51",2,"l2svm_their()",424390132,2250
"52",2,"l1svm_ours()",405792022,2250
"53",2,"l2svm_their()",433722561,2250
"54",2,"l1svm_their()",43269746,2250
"55",2,"l1svm_ours()",121453388,2500
"56",2,"l1svm_their()",35462478,2500
"57",2,"l2svm_their()",215182804,2500
"58",2,"l1svm_ours()",245393704,2500
"59",2,"l2svm_their()",219707318,2500
"60",2,"l1svm_ours()",165603352,2500
"61",2,"l2svm_their()",185250699,2500
"62",2,"l1svm_their()",50115875,2500
"63",2,"l1svm_their()",32400213,2500
"64",2,"l2svm_their()",151569538,2750
"65",2,"l1svm_their()",56129056,2750
"66",2,"l1svm_ours()",256204637,2750
"67",2,"l1svm_their()",57450344,2750
"68",2,"l2svm_their()",295662924,2750
"69",2,"l1svm_their()",63403782,2750
"70",2,"l1svm_ours()",234824447,2750
"71",2,"l1svm_ours()",146654903,2750
"72",2,"l2svm_their()",157366872,2750
"73",2,"l1svm_ours()",139124129,3000
"74",2,"l1svm_their()",36574855,3000
"75",2,"l1svm_their()",34183769,3000
"76",2,"l1svm_ours()",158049903,3000
"77",2,"l1svm_their()",39286239,3000
"78",2,"l1svm_ours()",154722898,3000
"79",2,"l2svm_their()",196845346,3000
"80",2,"l2svm_their()",193102844,3000
"81",2,"l2svm_their()",190457713,3000
"82",2,"l1svm_ours()",164855882,3250
"83",2,"l1svm_their()",41282817,3250
"84",2,"l2svm_their()",224214282,3250
"85",2,"l2svm_their()",224928801,3250
"86",2,"l1svm_their()",56836617,3250
"87",2,"l1svm_their()",65052023,3250
"88",2,"l1svm_ours()",164051362,3250
"89",2,"l2svm_their()",218326276,3250
"90",2,"l1svm_ours()",158439969,3250
"91",2,"l2svm_their()",227816582,3500
"92",2,"l2svm_their()",209600203,3500
"93",2,"l1svm_ours()",148599118,3500
"94",2,"l1svm_ours()",174989445,3500
"95",2,"l1svm_their()",43901608,3500
"96",2,"l2svm_their()",235600393,3500
"97",2,"l1svm_ours()",156772441,3500
"98",2,"l1svm_their()",43820188,3500
"99",2,"l1svm_their()",59888908,3500
"100",2,"l1svm_ours()",200072394,3750
"101",2,"l1svm_their()",46091866,3750
"102",2,"l1svm_ours()",194795561,3750
"103",2,"l1svm_ours()",189065058,3750
"104",2,"l2svm_their()",238974545,3750
"105",2,"l1svm_their()",61343509,3750
"106",2,"l1svm_their()",41974210,3750
"107",2,"l2svm_their()",239323929,3750
"108",2,"l2svm_their()",256638341,3750
"109",2,"l2svm_their()",345371622,4000
"110",2,"l2svm_their()",372656608,4000
"111",2,"l1svm_their()",66231657,4000
"112",2,"l2svm_their()",303979063,4000
"113",2,"l1svm_ours()",258636860,4000
"114",2,"l1svm_ours()",388787146,4000
"115",2,"l1svm_their()",55931531,4000
"116",2,"l1svm_their()",67722209,4000
"117",2,"l1svm_ours()",238494828,4000
"118",3,"l1svm_their()",30798618,1000
"119",3,"l1svm_their()",12399824,1000
"120",3,"l2svm_their()",82699893,1000
"121",3,"l1svm_their()",14417430,1000
"122",3,"l1svm_ours()",55686922,1000
"123",3,"l2svm_their()",71887433,1000
"124",3,"l2svm_their()",73101499,1000
"125",3,"l1svm_ours()",47239676,1000
"126",3,"l1svm_ours()",53330289,1000
"127",3,"l1svm_their()",25266510,1250
"128",3,"l1svm_their()",20977422,1250
"129",3,"l2svm_their()",119653427,1250
"130",3,"l1svm_ours()",116896259,1250
"131",3,"l2svm_their()",125527119,1250
"132",3,"l1svm_their()",17849447,1250
"133",3,"l2svm_their()",108325437,1250
"134",3,"l1svm_ours()",93114059,1250
"135",3,"l1svm_ours()",72333551,1250
"136",3,"l2svm_their()",594711290,1500
"137",3,"l2svm_their()",564261910,1500
"138",3,"l1svm_ours()",136737528,1500
"139",3,"l2svm_their()",614430616,1500
"140",3,"l1svm_their()",25599976,1500
"141",3,"l1svm_their()",46528123,1500
"142",3,"l1svm_ours()",75747918,1500
"143",3,"l1svm_ours()",74576847,1500
"144",3,"l1svm_their()",19578794,1500
"145",3,"l2svm_their()",164228191,1750
"146",3,"l1svm_ours()",100943507,1750
"147",3,"l2svm_their()",169594284,1750
"148",3,"l2svm_their()",173188294,1750
"149",3,"l1svm_ours()",88681218,1750
"150",3,"l1svm_their()",19082056,1750
"151",3,"l1svm_their()",21814390,1750
"152",3,"l1svm_ours()",77716217,1750
"153",3,"l1svm_their()",38622213,1750
"154",3,"l1svm_their()",25324926,2000
"155",3,"l1svm_their()",25516537,2000
"156",3,"l1svm_ours()",105161847,2000
"157",3,"l2svm_their()",162433965,2000
"158",3,"l1svm_their()",40620049,2000
"159",3,"l1svm_ours()",93627759,2000
"160",3,"l2svm_their()",174903166,2000
"161",3,"l1svm_ours()",242079516,2000
"162",3,"l2svm_their()",169164927,2000
"163",3,"l1svm_ours()",719843596,2250
"164",3,"l1svm_ours()",508514267,2250
"165",3,"l1svm_their()",118281323,2250
"166",3,"l2svm_their()",1142643926,2250
"167",3,"l1svm_their()",164271056,2250
"168",3,"l2svm_their()",718348460,2250
"169",3,"l1svm_ours()",821302317,2250
"170",3,"l1svm_their()",269313206,2250
"171",3,"l2svm_their()",1047490668,2250
"172",3,"l1svm_their()",228256784,2500
"173",3,"l1svm_their()",264292478,2500
"174",3,"l1svm_their()",282879536,2500
"175",3,"l2svm_their()",1009854116,2500
"176",3,"l1svm_ours()",1229936538,2500
"177",3,"l2svm_their()",850127918,2500
"178",3,"l1svm_ours()",2091415805,2500
"179",3,"l1svm_ours()",1684287182,2500
"180",3,"l2svm_their()",789453099,2500
"181",3,"l1svm_their()",40299559,2750
"182",3,"l1svm_ours()",243557203,2750
"183",3,"l1svm_their()",119251184,2750
"184",3,"l2svm_their()",2108234222,2750
"185",3,"l2svm_their()",1267857226,2750
"186",3,"l1svm_ours()",152865056,2750
"187",3,"l1svm_their()",56031675,2750
"188",3,"l1svm_ours()",197038504,2750
"189",3,"l2svm_their()",1054983414,2750
"190",3,"l1svm_ours()",1406656560,3000
"191",3,"l2svm_their()",229905594,3000
"192",3,"l2svm_their()",280756755,3000
"193",3,"l2svm_their()",239036610,3000
"194",3,"l1svm_their()",207010417,3000
"195",3,"l1svm_ours()",1157993613,3000
"196",3,"l1svm_their()",208341060,3000
"197",3,"l1svm_ours()",1135210347,3000
"198",3,"l1svm_their()",208108178,3000
"199",3,"l1svm_their()",207677625,3250
"200",3,"l2svm_their()",542673550,3250
"201",3,"l1svm_ours()",989980947,3250
"202",3,"l1svm_their()",224292803,3250
"203",3,"l1svm_their()",237441694,3250
"204",3,"l1svm_ours()",1278180996,3250
"205",3,"l2svm_their()",287134947,3250
"206",3,"l1svm_ours()",857526267,3250
"207",3,"l2svm_their()",336002570,3250
"208",3,"l1svm_their()",369413859,3500
"209",3,"l1svm_ours()",1135748960,3500
"210",3,"l2svm_their()",1138408307,3500
"211",3,"l1svm_ours()",837172103,3500
"212",3,"l1svm_their()",235968520,3500
"213",3,"l2svm_their()",1188141209,3500
"214",3,"l1svm_their()",232882497,3500
"215",3,"l1svm_ours()",1417551337,3500
"216",3,"l2svm_their()",1137872677,3500
"217",3,"l1svm_ours()",1471648076,3750
"218",3,"l2svm_their()",1610123908,3750
"219",3,"l1svm_their()",244547519,3750
"220",3,"l2svm_their()",1311983667,3750
"221",3,"l2svm_their()",1320684833,3750
"222",3,"l1svm_their()",253658652,3750
"223",3,"l1svm_ours()",1923890157,3750
"224",3,"l1svm_ours()",1493600308,3750
"225",3,"l1svm_their()",239554049,3750
"226",3,"l1svm_ours()",3702757307,4000
"227",3,"l1svm_their()",449887837,4000
"228",3,"l1svm_their()",438033639,4000
"229",3,"l1svm_their()",318667656,4000
"230",3,"l1svm_ours()",1852040510,4000
"231",3,"l1svm_ours()",1787533855,4000
"232",3,"l2svm_their()",836618877,4000
"233",3,"l2svm_their()",1052241812,4000
"234",3,"l2svm_their()",1451062627,4000
"235",4,"l1svm_ours()",184536534,1000
"236",4,"l1svm_their()",36607447,1000
"237",4,"l1svm_ours()",253005440,1000
"238",4,"l2svm_their()",888416941,1000
"239",4,"l2svm_their()",991306576,1000
"240",4,"l1svm_ours()",503562681,1000
"241",4,"l1svm_their()",45405362,1000
"242",4,"l2svm_their()",1107851289,1000
"243",4,"l1svm_their()",63651505,1000
"244",4,"l1svm_their()",18067986,1250
"245",4,"l1svm_their()",18342474,1250
"246",4,"l1svm_ours()",56641235,1250
"247",4,"l1svm_their()",18230919,1250
"248",4,"l2svm_their()",176276572,1250
"249",4,"l2svm_their()",161882462,1250
"250",4,"l1svm_ours()",94095209,1250
"251",4,"l1svm_ours()",79374783,1250
"252",4,"l2svm_their()",196064389,1250
"253",4,"l1svm_their()",28313079,1500
"254",4,"l2svm_their()",887209327,1500
"255",4,"l1svm_their()",39774712,1500
"256",4,"l2svm_their()",1121469472,1500
"257",4,"l1svm_their()",64843470,1500
"258",4,"l1svm_ours()",321960998,1500
"259",4,"l1svm_ours()",236748464,1500
"260",4,"l2svm_their()",894850818,1500
"261",4,"l1svm_ours()",244058314,1500
"262",4,"l2svm_their()",679639003,1750
"263",4,"l1svm_ours()",586059030,1750
